Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2017:Q1,Top1,28314351,29088107,3837231,819092,11457329,1848956,5461081,5664417,773756,491602,87862,194292
2017:Q1,Next9,34989503,37593954,7734469,1003753,7766883,11654059,2985271,6449519,2604451,2121719,279372,203360
2017:Q1,Next40,26950761,33171875,11037022,2205397,2630306,10640337,1440415,5218397,6221114,4765361,1295631,160122
2017:Q1,Bottom50,1162912,5700676,2794345,1190735,164116,635472,143002,773006,4537763,2327646,1967550,242567
2017:Q2,Top1,28786093,29559133,3877874,810008,11820883,1841473,5582520,5626375,773040,495067,83676,194297
2017:Q2,Next9,35670297,38321545,7906268,1021572,8004388,11841295,3120088,6427933,2651248,2163968,280015,207265
2017:Q2,Next40,27255766,33537554,11206840,2213749,2683738,10780628,1447991,5204608,6281789,4792396,1316743,172650
2017:Q2,Bottom50,1273634,5852798,2919365,1197321,165617,651943,146728,771823,4579164,2322542,2002282,254340
2017:Q3,Top1,29268667,30047021,3940431,798563,12234251,1824869,5669932,5578975,778354,498946,82035,197373
2017:Q3,Next9,36397311,39078291,8048988,1041822,8274638,12059275,3231403,6422165,2680981,2205739,280157,195085
2017:Q3,Next40,27732968,34071809,11429835,2216724,2748429,10943560,1456795,5276467,6338842,4826120,1338243,174479
2017:Q3,Bottom50,1340735,5968184,2998893,1201160,167681,672395,150765,777289,4627449,2324402,2048778,254269
2017:Q4,Top1,30120855,30892493,4003425,788143,12934417,1800433,5805599,5560475,771637,502516,77377,191744
2017:Q4,Next9,37283847,40030169,8143627,1070263,8716903,12306518,3377232,6415625,2746322,2243483,282697,220142
2017:Q4,Next40,28440487,34854103,11649115,2228401,2858733,11123625,1460185,5534045,6413616,4857971,1371079,184566
2017:Q4,Bottom50,1381629,6078866,3042939,1212813,173398,701009,153500,795207,4697237,2324822,2099599,272816
2018:Q1,Top1,30463984,31241992,4115192,781379,12900254,1779292,5882618,5783257,778008,504922,77895,195191
2018:Q1,Next9,37742910,40519438,8319587,1088735,8717073,12341549,3338823,6713671,2776528,2284171,276826,215531
2018:Q1,Next40,28724830,35147073,11975608,2255207,2845322,11142064,1489784,5439088,6422243,4870919,1359089,192235
2018:Q1,Bottom50,1425432,6116496,3064977,1228816,169326,701976,150341,801061,4691064,2305938,2106064,279062
2018:Q2,Top1,30771072,31551850,4131573,775414,13103075,1751143,5968594,5822051,780778,508833,73963,197982
2018:Q2,Next9,38401586,41212283,8459420,1113241,8858907,12490907,3520450,6769358,2810697,2332719,276145,201833
2018:Q2,Next40,28963791,35447156,12078263,2279790,2868433,11239312,1494007,5487351,6483365,4901837,1373970,207558
2018:Q2,Bottom50,1554724,6279487,3189269,1247227,168285,718733,159321,796653,4724764,2304454,2134079,286231
2018:Q3,Top1,31413030,32198660,4167663,771099,13701537,1704491,6001750,5852120,785630,513126,71522,200982
2018:Q3,Next9,39105229,41954934,8571317,1137212,9241855,12733232,3447856,6823462,2849705,2378702,277080,193923
2018:Q3,Next40,29417853,35970129,12216921,2291515,2960293,11402656,1537700,5561043,6552276,4940410,1400365,211501
2018:Q3,Bottom50,1607404,6392562,3259741,1261588,172318,751032,158856,789027,4785157,2310897,2185614,288646
2018:Q4,Top1,29613834,30404439,4208457,744018,11649788,1701030,6016007,6085139,790605,516160,66707,207738
2018:Q4,Next9,37773908,40625582,8618094,1161743,8026425,12322783,3477178,7019359,2851674,2414619,278724,158331
2018:Q4,Next40,28968056,35593883,12383008,2334987,2610979,11090671,1561724,5612515,6625827,4966838,1429463,229526
2018:Q4,Bottom50,1545667,6373898,3297941,1271955,142093,698371,163963,799575,4828232,2306298,2232148,289786
2019:Q1,Top1,31800106,32601478,4325109,761891,13700858,1672981,6068622,6072018,801373,518010,68075,215288
2019:Q1,Next9,39909774,42761235,8800182,1169475,9288848,12831879,3582351,7088500,2851461,2438173,272896,140392
